20060102 00:00,560000,560000,560000,560000,0
20060103 00:00,560000,580000,560000,580000,23873200
20060104 00:00,590000,590000,580000,590000,19086500
20060105 00:00,590000,590000,580000,580000,17158400
20060106 00:00,590000,600000,590000,590000,17370000
20060109 00:00,600000,600000,590000,590000,17339200
20060110 00:00,590000,600000,590000,600000,17913400
20060111 00:00,600000,600000,590000,600000,17327100
20060112 00:00,610000,610000,600000,600000,21130200
20060113 00:00,600000,610000,600000,610000,17075900
20060116 00:00,610000,610000,610000,610000,0
20060117 00:00,610000,620000,610000,620000,18192400
20060118 00:00,620000,620000,600000,610000,16232200
20060119 00:00,610000,620000,600000,620000,18863000
20060120 00:00,620000,620000,600000,610000,25994800
20060123 00:00,610000,620000,600000,610000,19545900
20060124 00:00,610000,620000,610000,610000,18075000
20060125 00:00,610000,620000,600000,600000,24510200
20060126 00:00,610000,610000,600000,600000,24562800
20060127 00:00,600000,620000,600000,610000,21407600
20060130 00:00,630000,640000,630000,630000,29443800
20060131 00:00,630000,630000,620000,630000,24268700
20060201 00:00,630000,630000,620000,620000,20581700
20060202 00:00,620000,620000,610000,620000,21403400
20060203 00:00,620000,620000,610000,610000,18829100
20060206 00:00,620000,630000,620000,620000,18763400
20060207 00:00,620000,620000,600000,610000,21137800
20060208 00:00,600000,610000,600000,600000,21988500
20060209 00:00,610000,610000,600000,600000,22554900
20060210 00:00,600000,610000,590000,590000,26186300
20060213 00:00,590000,600000,590000,600000,16837100
20060214 00:00,590000,600000,590000,600000,21023400
20060215 00:00,600000,600000,590000,600000,21672200
20060216 00:00,600000,600000,600000,600000,20057500
20060217 00:00,600000,610000,600000,610000,19198900
20060220 00:00,610000,610000,610000,610000,0
20060221 00:00,610000,610000,610000,610000,17651700
20060222 00:00,610000,610000,600000,600000,15710600
20060223 00:00,600000,610000,600000,600000,17759500
20060224 00:00,600000,610000,600000,600000,13191100
20060227 00:00,600000,610000,600000,600000,12552500
20060228 00:00,600000,600000,590000,590000,19193300
20060301 00:00,600000,610000,600000,600000,15924800
20060302 00:00,600000,610000,600000,610000,19730500
20060303 00:00,610000,620000,610000,610000,18221900
20060306 00:00,610000,610000,600000,600000,16294000
20060307 00:00,600000,600000,590000,600000,18674000
20060308 00:00,590000,600000,590000,600000,22159700
20060309 00:00,600000,600000,590000,590000,21827900
20060310 00:00,590000,590000,580000,590000,20252800
20060313 00:00,600000,600000,590000,600000,16885300
20060314 00:00,600000,610000,590000,610000,18405200
20060315 00:00,610000,610000,600000,610000,17999200
20060316 00:00,610000,620000,610000,620000,18976400
20060317 00:00,620000,620000,610000,610000,26912800
20060320 00:00,610000,610000,600000,610000,16775400
20060321 00:00,610000,610000,600000,610000,20732700
20060322 00:00,610000,610000,610000,610000,16101300
20060323 00:00,610000,610000,610000,610000,15432500
20060324 00:00,610000,620000,610000,610000,15455200
20060327 00:00,610000,610000,610000,610000,11839700
20060328 00:00,610000,620000,610000,610000,20224900
20060329 00:00,610000,620000,610000,610000,19175000
20060330 00:00,610000,620000,610000,610000,15768600
20060331 00:00,610000,610000,610000,610000,19310000
20060403 00:00,610000,620000,610000,610000,16698100
20060404 00:00,610000,620000,600000,620000,14878600
20060405 00:00,620000,620000,620000,620000,15772300
20060406 00:00,620000,630000,620000,620000,15409100
20060407 00:00,620000,630000,610000,610000,16138900
20060410 00:00,620000,620000,620000,620000,12855000
20060411 00:00,620000,630000,620000,620000,14726500
20060412 00:00,620000,620000,610000,610000,14118500
20060413 00:00,610000,620000,610000,620000,11561100
20060414 00:00,620000,620000,620000,620000,0
20060417 00:00,620000,620000,620000,620000,11568700
20060418 00:00,620000,640000,620000,640000,22318100
20060419 00:00,630000,640000,630000,640000,20923000
20060420 00:00,640000,650000,630000,640000,23155000
20060421 00:00,640000,650000,640000,650000,21764200
20060424 00:00,650000,650000,640000,640000,16363100
20060425 00:00,650000,650000,630000,640000,21781700
20060426 00:00,640000,650000,630000,630000,23214800
20060427 00:00,620000,630000,610000,620000,27311100
20060428 00:00,630000,640000,630000,630000,20606100
20060501 00:00,630000,640000,630000,630000,19770600
20060502 00:00,640000,650000,640000,650000,18963700
20060503 00:00,650000,650000,630000,640000,23107200
20060504 00:00,640000,640000,630000,630000,23189500
20060505 00:00,640000,640000,630000,640000,13900700
20060508 00:00,640000,640000,630000,640000,16580400
