Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2009-03-27T13:31:00Z,SPY,69.864611322,1431,0,Filled,99976.258801782, 
2009-07-09T13:31:00Z,SPY,75.97913378,-1431,0,Filled,-108726.14043918, 
2009-07-17T13:31:00Z,SPY,80.6099162,1348,0,Filled,108662.1670376, 
2010-01-29T14:31:00Z,SPY,94.545384468,-1348,0,Filled,-127447.17826286, 
2010-03-02T14:31:00Z,SPY,97.300142784,1310,0,Filled,127463.18704704, 
2010-05-10T13:31:00Z,SPY,100.667381737,-1310,0,Filled,-131874.27007547, 
2010-07-27T13:31:00Z,SPY,98.034919884,1345,0,Filled,131856.96724398, 
2010-08-23T13:31:00Z,SPY,94.416621156,-1345,0,Filled,-126990.35545482, 
2010-09-13T13:31:00Z,SPY,98.375774112,1291,0,Filled,127003.12437859, 
2011-03-17T13:31:00Z,SPY,113.113528324,-1291,0,Filled,-146029.56506628, 
2011-03-30T13:31:00Z,SPY,117.596918832,1241,0,Filled,145937.77627051, 
2011-06-02T13:31:00Z,SPY,117.1001304,-1241,0,Filled,-145321.2618264, 
2011-07-06T13:31:00Z,SPY,119.0714112,1221,0,Filled,145386.1930752, 
2011-08-03T13:31:00Z,SPY,111.930336,-1221,0,Filled,-136666.940256, 
2011-10-17T13:31:00Z,SPY,109.301268828,1250,0,Filled,136626.586035, 
2011-11-25T14:31:00Z,SPY,104.318772684,-1250,0,Filled,-130398.465855, 
2011-12-05T14:31:00Z,SPY,113.459323164,1149,0,Filled,130364.76231544, 
2012-05-10T13:31:00Z,SPY,123.77325186,-1149,0,Filled,-142215.46638714, 
2012-07-02T13:31:00Z,SPY,124.196094138,1145,0,Filled,142204.52778801, 
2012-10-26T13:31:00Z,SPY,129.38079297,-1145,0,Filled,-148141.00795065, 
2012-12-10T14:31:00Z,SPY,130.20458295,1138,0,Filled,148172.8153971, 
2013-06-25T13:31:00Z,SPY,147.4846662,-1138,0,Filled,-167837.5501356, 
2013-07-10T13:31:00Z,SPY,153.69346905,1092,0,Filled,167833.2682026, 
2013-08-26T13:31:00Z,SPY,155.29453965,-1092,0,Filled,-169581.6372978, 
2013-09-12T13:31:00Z,SPY,157.7054541,1075,0,Filled,169533.3631575, 
2014-01-30T14:31:00Z,SPY,168.129393064,-1075,0,Filled,-180739.0975438, 
2014-02-18T14:31:00Z,SPY,173.274099822,1043,0,Filled,180724.88611435, 
2014-04-16T13:31:00Z,SPY,175.16766465,-1043,0,Filled,-182699.87422995, 
2014-04-17T13:31:00Z,SPY,175.6778067,1040,0,Filled,182704.918968, 
2014-08-06T13:31:00Z,SPY,181.49635144,-1040,0,Filled,-188756.2054976, 
2014-08-20T13:31:00Z,SPY,188.131599853,1003,0,Filled,188695.99465256, 
2014-10-03T13:31:00Z,SPY,186.523022686,-1003,0,Filled,-187082.59175406, 
2014-10-31T13:31:00Z,SPY,192.397763558,972,0,Filled,187010.62617838, 
